82,152718,0
71853,71839,0
9574,25,0
86513,24,0
88,356723,0
98524,98553,0
97228,79,0
74751,33,0
59,234490,0
365701,89,0
143708,143694,0
108511,42,0
4293,4293,1000000
96,-44
-82,98
-42,-2
-68,-6
80,-76
-46,70
-22,70
-98,-58
-46,96
6,-68
-2,-60
-62,-38
32,-46
-88,86
90,68
-80,90
-84,-98
-48,78
-48,-30
-18,-54
12,-88
86,-2
-92,-64
76,48
-14,-80
56,-78
-80,64
26,98
58,-84
78,16
62,-16
-92,72
34,62
0,-90
-40,-88
46,-42
-82,-96
90,-26
60,-46
-36,-98
68,62
72,74
58,-20
-26,-88
-72,-36
4,42
-14,16
36,80
84,-10
-14,74
-66,-50
-68,-16
-82,58
14,60
-96,-98
-18,28
-6,66
-78,86
94,-72
58,-36
88,12
-22,-62
-96,-42
84,82
80,28
66,-46
40,28
-16,58
46,54
-76,28
-20,64
-54,36
66,-58
-86,92
82,-34
82,84
94,-88
-78,-4
-66,-96
-96,52
-48,40
94,38
-10,-84
-62,70
-82,-36
-8,-54
-16,-58
0,-66
-98,-56
54,72
-64,44
-14,42
18,22
-16,12
78,30
-66,-94
-60,84
20,-12
-14,12
-68,-62
60,54
84,0
94,56
26,74
36,-8
-100,38
-2,-70
-24,16
46,-98
88,-52
86,72
-42,-40
2,70
96,-24
-28,62
34,-100
-78,34
34,-58
-34,88
92,78
-18,-74
-8,48
-48,90
-20,-14
82,98
38,12
56,-8
80,8
76,30
0,70
-30,-98
-90,-54
-8,80
38,-36
-2,76
80,-28
36,-28
24,-74
94,0
62,8
76,8
-42,-14
98,-100
-62,-88
-48,-76
-20,-80
-42,-64
90,-2
10,-46
-76,34
-48,12
-8,-4
76,-48
-76,-56
10,-22
22,78
22,24
-20,-46
6,6
-96,20
-8,98
-92,-52
-10,-92
34,-8
-98,78
-46,-50
-78,-86
96,-10
96,76
-84,6
28,-54
-12,0
-98,-4
-44,40
-12,-68
16,0
84,86
96,-50
68,62
2,64
96,60
80,34
22,-52
60,2
62,70
56,-10
90,-76
80,-86
6,88
20,-58
-70,62
-28,78
90,18
80,-46
8,-70
54,94
18,92
92,30
-14,-86
18,88
-64,54
32,-46
22,22
26,32
12,66
76,68
74,4
-64,70
50,-60
-100,-30
-88,0
-22,-40
-6,-96
-54,66
24,94
96,-98
-20,76
-36,-12
64,40
10,-94
42,76
60,-6
66,-80
-66,80
62,92
-44,-26
-42,44
92,88
74,70
24,38
-40,-2
26,-82
-84,34
4,86
-68,-68
-48,36
64,-6
-60,-64
-92,64
62,-60
-66,34
80,-82
8,-70
-84,46
80,24
78,16
32,-46
-2,72
-26,86
2,94
-96,8
-26,-84
-36,10
-20,-52
78,-90
-54,-40
-16,-16
-64,-70
72,16
96,-70
94,-12
-52,44
96,-84
68,-92
-34,42
-38,-46
-80,6
48,-80
-56,46
-60,-72
74,86
70,-10
-82,-52
22,-96
36,80
-52,52
-30,42
-14,-66
92,56
92,50
-50,34
70,48
-50,74
-38,26
-86,-62
84,12
6,-84
62,86
88,-10
-74,-22
78,-8
-82,-6
78,-78
98,-56
94,-84
-10,-16
-30,-6
0,2
-32,0
88,-46
-28,60
-100,-88
-2,80
-66,40
-46,-32
76,64
44,-96
-18,8
42,22
88,-96
12,-22
-54,82
-14,34
-76,-56
38,-80
70,-40
60,86
-82,-28
52,70
