-1.47046,46.2472,1828
-8,68
-32,52
22,8
4,92
-8,-10
-20,-2
12,32
30,58
-20,22
18,68
-24,48
-18,32
-34,22
28,80
-12,26
-2,48
-6,10
-34,32
-8,14
-24,86
18,94
10,36
-12,46
22,54
18,4
16,86
30,66
-34,26
-8,34
-24,54
24,56
14,92
12,-4
26,62
-30,98
20,92
20,6
-34,64
-24,36
18,40
-22,76
0,-12
-18,88
16,92
-4,52
12,22
0,-14
12,96
-6,74
-2,56
28,66
-24,8
-6,98
-2,44
22,82
-10,80
-8,24
18,46
16,56
-4,82
18,58
2,50
10,26
-20,46
20,58
-12,0
-8,40
-4,82
10,62
-32,22
-16,20
-34,72
-2,4
28,64
-20,64
24,90
32,98
2,66
-12,24
-8,34
-34,36
-14,78
-16,58
-22,18
-12,2
20,26
-34,86
30,70
2,82
26,36
-20,56
-24,38
18,30
6,92
14,44
-6,70
28,60
-24,28
6,10
14,50
-4,46
-10,76
18,54
20,24
-8,0
-22,78
2,40
-6,20
8,58
-28,2
8,24
28,52
30,30
-16,16
0,40
-18,64
26,0
4,58
32,68
-10,86
30,50
-30,62
-2,44
-6,6
30,88
-2,92
20,12
-2,98
6,44
-8,-12
-10,24
-26,72
22,8
-10,24
-2,-2
-26,84
-8,72
24,56
14,66
4,24
24,42
-20,90
-28,46
-24,4
16,10
20,40
-6,34
-32,84
-12,24
8,96
-8,-8
24,2
-14,20
32,6
24,80
30,56
-14,24
6,54
-20,62
-26,16
18,0
-22,98
0,22
-34,4
-28,96
-20,34
28,96
24,70
12,-8
-16,10
8,80
-14,48
14,0
-4,-2
-18,2
-20,50
-32,66
-26,64
22,20
6,0
22,0
28,36
-20,18
12,64
12,32
-14,-8
-6,64
26,38
-30,82
4,-12
32,8
-22,54
-16,-4
6,86
-26,54
4,56
22,90
-26,46
-32,32
26,80
30,12
22,26
-28,88
10,28
12,62
20,80
26,60
30,24
32,20
-30,4
-22,36
0,90
30,66
26,24
24,40
8,26
18,20
-18,14
10,2
28,16
-4,36
-10,48
6,68
-2,74
18,72
32,16
22,2
10,44
-24,14
4,24
20,76
18,30
-32,6
-32,4
32,18
4,-4
-34,42
32,48
